卡牌名称 (Card Name),卡牌类型 (Card Type),所属文明,获取方式,设计阐述,困境
【人】,灵感卡 (初始),生存时代,游戏开始时持有,文明的主体，一切创造行为的发起者。,
【石头】,灵感卡 (初始),生存时代,游戏开始时持有,最原始的工具材料，代表“坚硬”与“改造”。,
【木头】,灵感卡 (初始),生存时代,关卡开始时发牌,重要的燃料与建材。,
【水】,灵感卡 (初始),生存时代,关卡开始时发牌,生命之源，用于农业灌溉和维持生命。,
【风】,灵感卡 (初始),生存时代,关卡开始时发牌 (迷惑项),代表自然的力量，在本阶段用于增加解谜的思考。,
【土地】,灵感卡 (初始),生存时代,关卡开始时发牌,承载万物，是农业的基础。,
【种子】,灵感卡 (初始),生存时代,关卡开始时发牌,希望与潜力，从采集到生产的思维转变。,
【冲突】,灵感卡 (初始),生存时代,关卡开始时发牌,抽象概念，代表对立与矛盾，是秩序诞生的催化剂。,
【智慧】,灵感卡 (解锁),生存时代,通关【寒冷】后，文明解锁此概念,代表第一次思维飞跃。学会用火代表人类开始总结规律。,奖励卡，承上启下
【部落】,灵感卡 (解锁),生存时代,通关【饥饿】后，文明解锁此概念,代表第一次社会结构飞跃。农业使定居成为可能，人口聚集形成社会。,奖励卡，承上启下
【价值】,灵感卡 (解锁),生存时代,通关【纷争】后，文明解锁此概念,律法保障了私有财产，使得物品的“价值”可以被公认和衡量。,奖励卡，承上启下
【火】,钥匙卡,生存时代,中间合成物,解决【寒冷】的关键。代表人类首次掌握自然力。,寒冷
【农业】,钥匙卡,生存时代,中间合成物,解决【饥饿】的关键。代表稳定的食物生产体系。,饥饿
【律法】,钥匙卡,生存时代,中间合成物,解决【纷争】的关键。将规则固化为文字，形成社会契约。,纷争
【符号】,灵感卡 (初始),城邦时代,进入城邦时代时解锁,文字的前身。将抽象的【智慧】和【记忆】固化为可见标记，是记录和传承的第一步。,
【矿石】,灵感卡 (初始),城邦时代,进入城邦时代时解锁,新的资源。比【石头】更具可塑性和价值，是制造更高级工具、货币和武器的基础。,
【劳力】,灵感卡 (初始),城邦时代,进入城邦时代时解锁,有组织的劳动。【部落】发展为【城邦】后，集中的人口可以进行更大规模的协作。,
【信仰】,灵感卡 (初始),城邦时代,进入城邦时代时解锁 (迷惑项),社会凝聚力。虽然能统一思想，但在解决本时代的物质困境时，并非直接的“钥匙”。,
【知识】,灵感卡 (解锁),城邦时代,1,系统化的智慧。文字的诞生使经验得以被大规模复制和传承，形成了真正的“知识体系”。,
【财富】,灵感卡 (解锁),城邦时代,通关【隔绝】后，文明解锁此概念,价值的积累。商业的出现使【价值】可以被大规模累积和流通，成为驱动社会发展的新动力。,
【权力】,灵感卡 (解锁),城邦时代,通关【入侵】后，文明解锁此概念,集中的控制力。为了组织【城防】和管理【财富】，社会必须将决策权集中，形成统治阶级。,
【文字】,钥匙卡,城邦时代,中间合成物,解决【遗忘】的关键。一套成熟的符号系统，用于记录历史、法律和财产，**战胜了时间**。,
【商业】,钥匙卡,城邦时代,中间合成物,解决【隔绝】的关键。基于【价值】和【财富】的交换体系，**打破了地理的限制**。,
【城防】,钥匙卡,城邦时代,中间合成物,解决【入侵】的关键。利用【劳力】和新材料（矿石）构建的防御工事，**守护了文明的果实**。,
【阶级】,灵感卡 (初始),分野时代,进入分野时代时解锁,财富分配不均的结果。社会分化为不同的层级，是构建更复杂管理体系或引发精神需求的前提。,
【哲学】,灵感卡 (初始),分野时代,进入分野时代时解锁,对“为什么”的探寻。物质满足后，对世界本源、生命意义的思考开始萌芽，是宗教与世俗思想的共同源头。,
【国家】,灵感卡 (初始),分野时代,进入分野时代时解锁,部落和城邦的集合体。超越血缘和城墙，一个由共同体概念维系的、更庞大的政治实体。,
【迷惘】,灵感卡 (初始),分野时代,进入分野时代时解锁,目标丧失的抽象概念。代表整个社会的精神状态，是解决【方向的迷惘】困境时需要被“转化”的核心要素。,
【君主】,灵感卡 (解锁),分野时代,通关【方向的迷惘】后解锁,权力的化身。无论是官僚体系还是宗教，最终都将权力集中于一个顶点，为帝国的出现铺平道路。,
【官僚体系】,钥匙卡,分野时代,中间合成物,理性的选择。通过层层分工的管理者，将国家变成一部高效的机器，实现对内稳定与资源调配。,
【宗教】,钥匙卡,分野时代,中间合成物,感性的选择。为整个文明提供统一的精神寄托和终极关怀，用共同信仰凝聚人心。,
【征服】,灵感卡 (初始),帝国时代,进入帝国时代时解锁,帝国的核心行动。以武力扩张疆域，是帝国获取土地、财富和劳力的主要手段。,
【税收】,灵感卡 (初始),帝国时代,进入帝国时代时解锁,帝国的血液。从广袤疆域中汲取资源，维持官僚体系运转和支撑战争机器的经济基础。,
【异族】,灵感卡 (初始),帝国时代,进入帝国时代时解锁,“我们”之外的“他们”。被征服或生活在边境的民族，是帝国需要同化或防范的对象。,
【荣耀】,灵感卡 (初始),帝国时代,进入帝国时代时解锁 (迷惑项),驱动帝国扩张的精神动力，但无法解决具体的疆域管理和人心认同问题。,
【帝国文化】,灵感卡 (解锁),帝国时代,通关【涣散的人心】后解锁,共同的身份认同。通过史诗、建筑和共同记忆塑造的文化，是维系庞大帝国的精神纽带。,
【道路】,钥匙卡,帝国时代,中间合成物,解决【广袤的疆域】。**帝国的血管**，将权力和军队快速投射到每一个角落，实现有效统治。,
【史诗】,钥匙卡,帝国时代,中间合成物,解决【涣散的人心】。**帝国的共同记忆**，为不同背景的子民提供一个宏大的、值得归属的共同叙事。,
【远洋航行】,钥匙卡,帝国时代,中间合成物,解决【无尽的欲望】。**探索未知世界**，将帝国的触角伸向海洋，寻找新的资源和土地。,
【神启】,灵感卡 (初始),信仰时代,进入信仰时代时解锁,信仰的源头。在混乱时代，人们渴望来自更高维度的指引，这是新教义诞生的基础。,
【救赎】,灵感卡 (初始),信仰时代,进入信仰时代时解锁,信仰的核心承诺。为现实中受苦的信徒提供一个来世或精神上的终极回报。,
【信徒】,灵感卡 (初始),信仰时代,进入信仰时代时解锁,信仰的载体。自发聚集的民众，是信仰传播和发展的社会基础。,
【神迹】,灵感卡 (初始),信仰时代,进入信仰时代时解锁 (迷惑项),对神力的具象化展现。虽能吸引信徒，但无法形成系统性的理论或权力结构。,
